Q1001	https://commons.wikimedia.org/wiki/File:Portrait_Gandhi.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Portrait_Gandhi.jpg/180px-Portrait_Gandhi.jpg	pd	<span lang="en">Unknown</span>
Q1004137	https://commons.wikimedia.org/wiki/File:Bull_Connor_(1960).jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Bull_Connor_%281960%29.jpg/180px-Bull_Connor_%281960%29.jpg	pd	City of Birmingham, Alabama
Q100937	https://commons.wikimedia.org/wiki/File:Astaire,_Fred_-_Never_Get_Rich.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Astaire%2C_Fred_-_Never_Get_Rich.jpg/180px-Astaire%2C_Fred_-_Never_Get_Rich.jpg	pd	Studio publicity still
Q100948	https://commons.wikimedia.org/wiki/File:Rachel-Carson.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Rachel-Carson.jpg/180px-Rachel-Carson.jpg	pd	U.S. Fish and Wildlife Service
Q102289	https://commons.wikimedia.org/wiki/File:BuckminsterFuller1.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/BuckminsterFuller1.jpg/180px-BuckminsterFuller1.jpg	cc-by-3.0	<a href="https://en.wikipedia.org/wiki/User:Edgy01" class="extiw" title="en:User:Edgy01">en:User:Edgy01</a> (Dan Lindsay)
Q102341	https://commons.wikimedia.org/wiki/File:Farrah_Fawcett_1977.JPG	https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Farrah_Fawcett_1977.JPG/180px-Farrah_Fawcett_1977.JPG	pd	ABC Television
Q102462	https://commons.wikimedia.org/wiki/File:Annex_-_Stewart,_James_(Call_Northside_777)_01.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Annex_-_Stewart%2C_James_%28Call_Northside_777%29_01.jpg/180px-Annex_-_Stewart%2C_James_%28Call_Northside_777%29_01.jpg	pd	Studio publicity still
Q102870	https://commons.wikimedia.org/wiki/File:Harriet_Tubman_by_Squyer,_NPG,_c1885.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Harriet_Tubman_by_Squyer%2C_NPG%2C_c1885.jpg/180px-Harriet_Tubman_by_Squyer%2C_NPG%2C_c1885.jpg	pd	Photographer: Horatio Seymour Squyer, 1848 - 18 Dec 1905
Q103767	https://commons.wikimedia.org/wiki/File:Portrait_of_Charlie_Parker_in_1947.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Portrait_of_Charlie_Parker_in_1947.jpg/180px-Portrait_of_Charlie_Parker_in_1947.jpg	pd	<bdi><a href="https://en.wikipedia.org/wiki/en:William_P._Gottlieb" class="extiw" title="w:en:William P. Gottlieb">William P. Gottlieb</a>
</bdi>
Q103774	https://commons.wikimedia.org/wiki/File:Ravi_Shankar_2009_crop.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ravi_Shankar_2009_crop.jpg/180px-Ravi_Shankar_2009_crop.jpg	cc-by-sa-4.0	<ul>
<li>
<a href="//commons.wikimedia.org/wiki/File:Ravi_Shankar_2009.jpg" title="File:Ravi Shankar 2009.jpg">Ravi Shankar 2009.jpg</a>: <a rel="nofollow" class="external text" href="https://www.flickr.com/people/24957596@N02/">Alexandra Ignatenko</a>
</li>
<li>derivative work: <a href="//commons.wikimedia.org/wiki/User:Hekerui" title="User:Hekerui">Hekerui</a>
</li>
</ul>
